date,sh_index_000001,csi300_fund_050002,bond_pure_000015,dividend_100032,money_market_000198,gold_000216,nasdaq_000834,proxy_bond_qdii,proxy_quant_a,proxy_oil,proxy_global_tech
2015-01-05,3350.519,1.0689,1.052,1.507,1.020221379415998,0.898,0.982,0.9238351254480285,1.045481220657277,1.0348432055749128,0.3620120884716717
2015-01-06,3351.446,1.0711,1.053,1.518,1.020276731777073,0.905,0.974,0.911290322580645,1.0476330203442878,1.024390243902439,0.3595619220522357
2015-01-07,3373.954,1.0713,1.054,1.515,1.0203320871413035,0.907,0.98,0.9041218637992829,1.0478286384976525,1.0267131242740999,0.36507479649596675
2015-01-08,3293.456,1.0493,1.056,1.487,1.020387445508853,0.905,0.995,0.9041218637992829,1.026310641627543,1.048780487804878,0.3721190249518453
2015-01-09,3285.412,1.0481,1.057,1.481,1.0204428068798845,0.906,0.99,0.907706093189964,1.0251369327073554,1.042973286875726,0.36936258772997976
2015-01-12,3229.316,1.0402,1.058,1.456,1.020608909015499,0.917,0.981,0.9103942652329748,1.0174100156494523,1.0220673635307782,0.36629987970568473
2015-01-13,3235.301,1.0397,1.06,1.467,1.0206642824020873,0.922,0.979,0.9148745519713259,1.0169209702660407,1.018583042973287,0.3656873381008257
2015-01-14,3222.437,1.0362,1.063,1.463,1.020719658792972,0.923,0.976,0.9130824372759855,1.0134976525821597,1.0197444831591174,0.3641559840886783
2015-01-15,3336.455,1.0662,1.063,1.497,1.0207750381883167,0.914,0.964,0.9041218637992829,1.0428403755868545,1.016260162601626,0.35986819285466526
2015-01-16,3376.495,1.074,1.065,1.507,1.0208304205882839,0.939,0.975,0.8996415770609318,1.0504694835680752,1.0383275261324043,0.36507479649596675
2015-01-19,3116.351,0.9946,1.066,1.41,1.0209965858175518,0.953,0.975,0.8987455197132614,0.9728090766823162,1.0360046457607432,0.36538106729839626
2015-01-20,3173.052,1.0058,1.066,1.385,1.02105198023764,0.954,0.981,0.9014336917562723,0.9837636932707355,1.032520325203252,0.3659936089032553
2015-01-21,3323.611,1.0487,1.067,1.429,1.021107377663166,0.969,0.986,0.9023297491039425,1.0257237871674492,1.0464576074332173,0.36752496291540276
2015-01-22,3343.344,1.0522,1.067,1.437,1.0211627780942931,0.958,1.001,0.9068100358422938,1.0291471048513303,1.048780487804878,0.3733441081615633
2015-01-23,3351.764,1.053,1.068,1.43,1.0212181815311838,0.967,1.004,0.9086021505376344,1.0299295774647887,1.0464576074332173,0.37273156655670436
2015-01-26,3383.182,1.0589,1.068,1.448,1.0213844098780713,0.971,1.004,0.907706093189964,1.0357003129890454,1.048780487804878,0.3742629205688518
2015-01-27,3352.96,1.0512,1.068,1.446,1.021439825339649,0.962,0.982,0.9103942652329748,1.028169014084507,1.0476190476190477,0.3690563169275503
2015-01-28,3305.738,1.0378,1.068,1.435,1.021495243807806,0.965,0.975,0.9121863799283153,1.0150625978090768,1.0267131242740999,0.3666061505081143
2015-01-29,3262.305,1.0236,1.068,1.427,1.0215506652827058,0.959,0.984,0.9121863799283153,1.001173708920188,1.0220673635307782,0.3718127541494158
2015-01-30,3210.363,1.012,1.068,1.412,1.0216060897645112,0.944,0.978,0.9166666666666665,0.9898278560250392,1.0278745644599303,0.3666061505081143
2015-02-02,3128.3,0.9917,1.068,1.387,1.021772381252993,0.961,0.986,0.9148745519713259,0.969972613458529,1.0545876887340302,0.36936258772997976
