配置,年化,累计,回撤,夏普,买入,止盈,时间止损,止盈率,平均持仓天,期末(万)
V5-B1: Top3+PEG<2+ROE≥10%+大盘100亿,0.10879050615585628,0.857431495500002,-0.46565627924538294,0.5342515792875641,69,40,27,0.5797101449191346,159.52238805970148,185.7431495500002
V5-B2: Top3+PEG<1.5严+ROE≥10%+大盘100亿,0.029114632498900006,0.18776721550000208,-0.4192288390336896,0.24522935559492604,67,37,28,0.5522388059619069,161.8923076923077,118.7767215500002
V5-R1: Top3+PEG<2+ROE≥8%+大盘100亿,0.049933368492939945,0.33931744100000194,-0.43192627369235925,0.32759032454043846,79,45,31,0.5696202531573465,165.80263157894737,133.9317441000002
V5-R2: Top3+PEG<2+ROE≥12%+大盘100亿,0.11555543785043487,0.9264241310000016,-0.4947521934487699,0.5631517508554441,64,38,26,0.5937499999907226,160.265625,192.64241310000017
V5-P1: Top3+PEG<2.5松+ROE≥10%+大盘100亿,0.108438236556895,0.853896021000002,-0.47068953402491526,0.5353732032907332,70,40,28,0.5714285714204081,159.44117647058823,185.38960210000022
V5-M1: Top3+PEG<2+ROE≥10%+大盘200亿,0.07277702883333403,0.5238123790000009,-0.4765997143296036,0.3950679030879452,16,7,9,0.43749999997265626,218.1875,152.3812379000001
V5-M2: Top5+PEG<2+ROE≥10%+大盘200亿,0.07084970898414289,0.5074712895000011,-0.48193016042835535,0.3887651552260532,17,7,10,0.41176470585813146,221.23529411764707,150.7471289500001
V5-K1: Top5+PEG<2+ROE≥10%+大盘100亿,0.06383566721944711,0.4492286570000015,-0.3676432587526928,0.3852078446971859,101,55,44,0.5445544554401529,166.989898989899,144.92286570000016
V5-C1: Top3+PEG<2+ROE≥10%+筹码前50%,0.135810127835303,1.1458891955000023,-0.42334931245623575,0.6009612741934953,69,40,27,0.5797101449191346,158.19402985074626,214.5889195500002
V5-L1: Top3+PEG<2+ROE≥10%+上市满3年,0.10906213936186004,0.860161515500002,-0.4656029576379915,0.5358011350907673,69,40,27,0.5797101449191346,159.52238805970148,186.01615155000022
【v4基】A3: Top3+PE≤80+白名单×1.2 (v4最佳),0.355,5.19,-0.295,1.41,144,90,44,0.625,132.0,619.3
【板块基】板块基金(PE48月+T270),0.144,1.43,-0.303,0.55,132,46,83,0.35,224.0,243.0
【中证1000】持有512100不动,0.109,0.97,-0.6,0.38,0,0,0,0.0,0.0,197.0
