版本,CAGR,MaxDD,Calmar,Sharpe
ENH_T40_S123_ONLY_S123,0.09065962075677247,-0.35137645225385156,0.2580127948735242,0.6476460098163677
ENH_T40_S123_ONLY_ALWAYS,0.04201555208575525,-0.4235325673167327,0.0992026475147822,0.3040155751731745
ENH_T40_IND_MA5_S123,0.03841458620382632,-0.16076565245389432,0.23894771910869111,0.58865732484983
ENH_T40_IND_MA5_ALWAYS,0.033006059070116445,-0.16000989292732498,0.20627511374457566,0.509058739328913
ENH_T60_S123_ONLY_S123,0.09298200931947598,-0.3482697347180953,0.2669827429241215,0.6687536464309961
ENH_T60_S123_ONLY_ALWAYS,0.052984610236298524,-0.4144761800918353,0.12783511490750477,0.35898099811931655
ENH_T60_IND_MA5_S123,0.040789104371674156,-0.16123225161263505,0.2529835297263452,0.6257610027932056
ENH_T60_IND_MA5_ALWAYS,0.03731611879577201,-0.16119676721284348,0.2314942117604987,0.5726001544014215
GBDT_T40_S123_ONLY_S123,0.0917143815643442,-0.33365610074648,0.27487697987321985,0.664329679513542
GBDT_T40_S123_ONLY_ALWAYS,0.052994535732129755,-0.38687853246525955,0.1369797782716432,0.35226571760480035
GBDT_T40_IND_MA5_S123,0.046554341797994336,-0.16000133140562262,0.2909622132394091,0.6835059436909737
GBDT_T40_IND_MA5_ALWAYS,0.03904136957996296,-0.16057710937070355,0.24313159883020197,0.5728332120249985
GBDT_T60_S123_ONLY_S123,0.08775372038296858,-0.3408349194805519,0.25746692932532367,0.6483993778783845
GBDT_T60_S123_ONLY_ALWAYS,0.05699448285605713,-0.3935467378613754,0.14482265313887688,0.3769760815356288
GBDT_T60_IND_MA5_S123,0.048510429462370386,-0.15838152067159397,0.30628844167160707,0.7209379101757086
GBDT_T60_IND_MA5_ALWAYS,0.042761921562547434,-0.1583224652253335,0.2700938317982379,0.6342485292086603
ENS_T40_S123_ONLY_S123,0.11445302755055353,-0.30690372844179586,0.3729281092762331,0.7904217230208462
ENS_T40_S123_ONLY_ALWAYS,0.0640878716703781,-0.34062591468955,0.1881473743436141,0.40739708543748554
ENS_T40_IND_MA5_S123,0.043213854719872824,-0.1554547652733764,0.27798346590337863,0.6492303124528351
ENS_T40_IND_MA5_ALWAYS,0.03781121864863035,-0.1552984397823846,0.2434745542720172,0.5702264107130905
ENS_T60_S123_ONLY_S123,0.11314481883572158,-0.3127854566284934,0.36173299006153853,0.7902934925578521
ENS_T60_S123_ONLY_ALWAYS,0.07322104537452945,-0.3593770475563189,0.20374435615371467,0.45414050452126337
ENS_T60_IND_MA5_S123,0.04665541642641169,-0.15193607678944024,0.30707266572373176,0.7034294032425469
ENS_T60_IND_MA5_ALWAYS,0.0429315094345637,-0.15198524281947778,0.2824715633943785,0.6465584434791368
ENS_T60_S123_TV12,0.08428476772919291,-0.21737317297279418,0.3877422691529625,0.8653355402363568
ENS_T60_S123_TV15,0.08618585491394226,-0.25642765083268093,0.33610203228074065,0.7817377252925735
ENS_T60_S123_TV18,0.09191054538094523,-0.27522521291559804,0.33394667615420937,0.7724883835069405
ENS_T60_S123_TV21,0.09588908247776717,-0.27522423103065846,0.3484034882040679,0.7760331779148142
ENS_T60_S123_TV18_L60,0.09465099388568632,-0.28873009405472067,0.3278182479306422,0.824626651692734
ENH_T40_S123_TV18,0.07324874041015539,-0.33269368992683657,0.22016870895896754,0.6256410579185149
T7_ETF对照,0.061453475074354946,0.19032694015052923,0.3228837442862871,0.55804510013852
