Roll,训练结束,执行期,所选配置,训练夏普,global_top_k,min_roe_pct,max_peg,chip_conc_pctl_threshold,min_circ_mv_yi,min_list_years
R1,2023-12-31,2024-01-01~2024-12-31,K3_ROE10_PEG2.5_CHIP40_MV50_YR3,0.905871276068726,3,10,2.5,0.4,50,3
R2,2024-12-31,2025-01-01~2025-12-31,K3_ROE8_PEG2.5_CHIP40_MV50_YR3,0.9891644067787584,3,8,2.5,0.4,50,3
