股票权重,期末,年化,回撤,夏普,卡玛
100%,3.7039987515000345,0.24406590721113886,-0.30438558656515496,0.9489142715199237,0.8018313546489021
90%,3.46657873925535,0.23039666149917903,-0.27494048490813366,0.980083615588154,0.8379873978041534
80%,3.2307784425150836,0.21602546448550686,-0.2450956718733214,1.0181780471523705,0.8813924082558275
70%,2.9984592580765304,0.20098467530265496,-0.21484914961583987,1.0657504062994607,0.9354687959529967
60%,2.771278986522552,0.18530625362207576,-0.18419890695437036,1.126637183285312,1.0060116896783742
50%,2.55068650696957,0.1690217807427803,-0.15314291925968657,1.206698387230477,1.1036865534485973
40%,2.3379204932621906,0.15216247585247533,-0.12167914834206114,1.3147045908397925,1.250522196495987
