配置,年化,累计,回撤,夏普,买入,止盈,时间止损,止盈率,平均持仓天,期末(万)
A1: 全局Top3+PE≤60+白名单×1.2,0.327764802273502,4.472947466500006,-0.2957348362915884,1.3402488595023498,148,91,47,0.6148648648607105,135.34057971014494,547.2947466500007
A2: 全局Top3+PE≤60(无白名单加权),0.327764802273502,4.472947466500006,-0.2957348362915884,1.3402488595023498,148,91,47,0.6148648648607105,135.34057971014494,547.2947466500007
A3: 全局Top3+PE≤80+白名单×1.2,0.35540457597685404,5.192575462000008,-0.29501184192875124,1.4127535413132875,144,90,44,0.6249999999956598,132.01492537313433,619.2575462000008
B1: 全局Top5+PE≤60+白名单×1.2,0.23626197895826673,2.5668496185000045,-0.3763752384558967,1.0413634815441761,247,140,91,0.5668016194309037,146.32034632034632,356.68496185000043
B2: 全局Top5+PE≤80+白名单×1.2,0.23800394463323027,2.5970906470000052,-0.3795069972159962,1.0640778654994416,247,139,92,0.5627530364349687,148.45454545454547,359.70906470000057
C1: 全局Top10+PE≤60+白名单×1.2,0.16272759147756122,1.4694427765000038,-0.40815527897737575,0.7841685974714707,412,227,163,0.5509708737850705,155.5871794871795,246.9442776500004
D1: Top3+PE≤60+市值50-3000亿,0.327764802273502,4.472947466500006,-0.2957348362915884,1.3402488595023498,148,91,47,0.6148648648607105,135.34057971014494,547.2947466500007
E1: Top3+PE≤40+白名单×1.2,0.3399397502527406,4.780823570500005,-0.29852008834962535,1.3872956450435912,129,81,39,0.6279069767393186,136.53333333333333,578.0823570500005
【基1】板块基金(PE48月+T270),0.144,1.43,-0.303,0.55,132,46,83,0.35,224.0,243.0
【基2】旧v2-全局Top3(无行业约束),0.217,2.24,-0.397,0.93,164,89,62,0.54,142.0,323.9
【基3】旧v2-板块Top3(分散无黑名),0.091,0.69,-0.323,0.55,959,483,435,0.5,166.0,168.8
